DATE,Return_Stock,Return_market,Risk_free_Rate
1-Jan-21,,,
4-Jan-21,0.47%,0.57%,10.10%
5-Jan-21,0.90%,-0.08%,
6-Jan-21,0.95%,1.13%,
7-Jan-21,1.87%,0.42%,
8-Jan-21,0.89%,0.68%,
11-Jan-21,-0.11%,-0.11%,
12-Jan-21,1.44%,0.69%,
13-Jan-21,0.82%,0.37%,
14-Jan-21,-0.36%,-0.22%,
15-Jan-21,-0.84%,-0.13%,
18-Jan-21,-0.37%,-0.44%,
19-Jan-21,-1.10%,0.39%,
20-Jan-21,1.48%,-0.49%,
21-Jan-21,0.89%,0.67%,
22-Jan-21,0.12%,-0.25%,
25-Jan-21,-1.03%,0.48%,
26-Jan-21,-0.34%,0.43%,
27-Jan-21,0.00%,0.37%,
28-Jan-21,0.72%,-0.63%,
29-Jan-21,0.08%,0.48%,
1-Feb-21,-0.66%,-0.30%,
2-Feb-21,-0.89%,0.72%,
3-Feb-21,0.06%,0.76%,
4-Feb-21,-0.49%,-0.06%,
8-Feb-21,-0.93%,-0.39%,
9-Feb-21,-1.13%,-0.10%,
10-Feb-21,0.31%,-0.07%,
11-Feb-21,-1.68%,-1.26%,
12-Feb-21,-0.94%,-0.54%,
15-Feb-21,1.04%,1.24%,
16-Feb-21,2.23%,1.06%,
17-Feb-21,-5.91%,-0.21%,
18-Feb-21,-4.30%,-1.34%,
19-Feb-21,-0.88%,0.18%,
22-Feb-21,-3.64%,-0.73%,
23-Feb-21,-2.18%,-0.35%,
24-Feb-21,1.49%,-0.80%,
25-Feb-21,2.43%,1.33%,
26-Feb-21,1.64%,-0.22%,
1-Mar-21,-1.57%,-0.59%,
2-Mar-21,1.42%,0.81%,
3-Mar-21,-1.71%,0.43%,
4-Mar-21,-1.75%,-1.91%,
5-Mar-21,1.78%,1.23%,
8-Mar-21,-1.93%,-1.72%,
9-Mar-21,0.39%,-1.84%,
10-Mar-21,-1.54%,-1.20%,
11-Mar-21,-2.04%,-2.09%,
12-Mar-21,2.28%,2.36%,
15-Mar-21,1.31%,2.23%,
16-Mar-21,1.35%,0.20%,
17-Mar-21,2.12%,1.32%,
18-Mar-21,-3.59%,-1.60%,
19-Mar-21,2.94%,0.40%,
22-Mar-21,0.28%,1.13%,
24-Mar-21,0.07%,0.30%,
25-Mar-21,-0.28%,0.40%,
26-Mar-21,-2.59%,-0.45%,
29-Mar-21,-1.93%,-2.39%,
30-Mar-21,-0.07%,0.13%,
31-Mar-21,-1.52%,0.22%,
1-Apr-21,0.54%,-0.36%,
2-Apr-21,0.51%,-0.29%,
5-Apr-21,-2.14%,-1.70%,
6-Apr-21,1.61%,1.97%,
7-Apr-21,-2.84%,-1.02%,
8-Apr-21,1.78%,1.79%,
9-Apr-21,1.46%,0.99%,
12-Apr-21,-0.62%,-0.46%,
13-Apr-21,0.89%,0.16%,
14-Apr-21,0.93%,0.58%,
15-Apr-21,-0.69%,-0.18%,
16-Apr-21,0.46%,0.17%,
19-Apr-21,-0.93%,-0.87%,
20-Apr-21,1.76%,1.08%,
21-Apr-21,0.47%,-0.21%,
22-Apr-21,2.18%,-0.83%,
23-Apr-21,-0.59%,-0.50%,
26-Apr-21,2.61%,2.18%,
27-Apr-21,0.56%,-0.85%,
28-Apr-21,-1.83%,-0.52%,
29-Apr-21,0.23%,-0.44%,
30-Apr-21,0.64%,-1.34%,
3-May-21,0.79%,-0.42%,
4-May-21,1.49%,1.11%,
5-May-21,-0.99%,0.85%,
6-May-21,0.46%,0.51%,
17-May-21,-0.37%,1.38%,
18-May-21,-0.30%,0.41%,
19-May-21,-1.07%,-0.65%,
20-May-21,-2.34%,-0.24%,
21-May-21,1.49%,0.75%,
24-May-21,0.83%,0.40%,
25-May-21,3.09%,0.44%,
26-May-21,1.17%,1.11%,
27-May-21,1.03%,-0.05%,
28-May-21,1.70%,0.72%,
31-May-21,1.36%,1.63%,
1-Jun-21,0.61%,0.62%,
2-Jun-21,-1.52%,-0.13%,
3-Jun-21,-0.49%,-0.07%,
4-Jun-21,-0.28%,0.25%,
7-Jun-21,-0.38%,0.19%,
8-Jun-21,0.60%,-0.32%,
9-Jun-21,-1.01%,-0.77%,
10-Jun-21,1.40%,0.99%,
11-Jun-21,0.44%,0.11%,
14-Jun-21,-0.02%,0.87%,
15-Jun-21,-0.22%,-0.19%,
16-Jun-21,0.32%,-0.31%,
17-Jun-21,-1.15%,-0.72%,
18-Jun-21,-2.80%,0.22%,
21-Jun-21,0.27%,-0.47%,
22-Jun-21,0.15%,-0.05%,
23-Jun-21,-0.56%,-0.18%,
24-Jun-21,0.41%,0.13%,
25-Jun-21,-2.28%,-0.54%,
28-Jun-21,-3.26%,-1.47%,
29-Jun-21,1.40%,0.29%,
30-Jun-21,-2.32%,0.46%,
1-Jul-21,0.88%,0.94%,
2-Jul-21,0.09%,-0.24%,
5-Jul-21,-0.78%,-0.54%,
6-Jul-21,2.30%,-0.17%,
7-Jul-21,1.14%,-0.21%,
8-Jul-21,1.04%,1.70%,
9-Jul-21,0.31%,-1.02%,
12-Jul-21,0.27%,-0.24%,
13-Jul-21,-0.05%,0.07%,
14-Jul-21,-0.03%,0.02%,
15-Jul-21,-0.41%,0.29%,
16-Jul-21,1.20%,0.43%,
19-Jul-21,-0.48%,0.08%,
23-Jul-21,-0.03%,-0.17%,
26-Jul-21,-0.43%,-0.25%,
27-Jul-21,1.94%,0.03%,
28-Jul-21,-0.39%,-0.77%,
29-Jul-21,-1.45%,-0.01%,
30-Jul-21,-1.78%,-0.54%,
2-Aug-21,0.34%,0.85%,
